PID, STATE, MODE, START TIME, END TIME, PROGRAM
001, READY, N/A, 0000000004, 0000000046, workload/l9A.prog
001, RUNNING, USER, 0000000046, 0000000084, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000000084, 0000000088, workload/l9A.prog
001, READY, N/A, 0000000088, 0000000376, workload/l9A.prog
001, RUNNING, USER, 0000000376, 0000000400, workload/l9A.prog
001, READY, N/A, 0000000400, 0000000404, workload/l9A.prog
001, RUNNING, USER, 0000000404, 0000000422, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000000422, 0000000426, workload/l9A.prog
001, READY, N/A, 0000000426, 0000001596, workload/l9A.prog
001, RUNNING, USER, 0000001596, 0000001599, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000001599, 0000001603, workload/l9A.prog
001, WAITING, N/A, 0000001603, 0000001684, workload/l9A.prog
001, READY, N/A, 0000001684, 0000002969, workload/l9A.prog
001, RUNNING, USER, 0000002969, 0000002984, workload/l9A.prog
001, READY, N/A, 0000002984, 0000002988, workload/l9A.prog
001, RUNNING, USER, 0000002988, 0000003019, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000003019, 0000003023, workload/l9A.prog
001, READY, N/A, 0000003023, 0000004433, workload/l9A.prog
001, RUNNING, USER, 0000004433, 0000004483, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000004483, 0000004487, workload/l9A.prog
001, READY, N/A, 0000004487, 0000005825, workload/l9A.prog
001, RUNNING, USER, 0000005825, 0000005834, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000005834, 0000005838, workload/l9A.prog
001, WAITING, N/A, 0000005838, 0000005915, workload/l9A.prog
001, READY, N/A, 0000005915, 0000007161, workload/l9A.prog
001, RUNNING, USER, 0000007161, 0000007201, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000007201, 0000007205, workload/l9A.prog
001, WAITING, N/A, 0000007205, 0000007245, workload/l9A.prog
001, READY, N/A, 0000007245, 0000008553, workload/l9A.prog
001, RUNNING, USER, 0000008553, 0000008584, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000008584, 0000008588, workload/l9A.prog
001, WAITING, N/A, 0000008588, 0000008622, workload/l9A.prog
001, READY, N/A, 0000008622, 0000009982, workload/l9A.prog
001, RUNNING, USER, 0000009982, 0000010032, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000010032, 0000010036, workload/l9A.prog
001, READY, N/A, 0000010036, 0000011377, workload/l9A.prog
001, RUNNING, USER, 0000011377, 0000011420, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000011420, 0000011424, workload/l9A.prog
001, WAITING, N/A, 0000011424, 0000011466, workload/l9A.prog
001, READY, N/A, 0000011466, 0000012703, workload/l9A.prog
001, RUNNING, USER, 0000012703, 0000012753, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000012753, 0000012757, workload/l9A.prog
001, READY, N/A, 0000012757, 0000014149, workload/l9A.prog
001, RUNNING, USER, 0000014149, 0000014199, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000014199, 0000014203, workload/l9A.prog
001, READY, N/A, 0000014203, 0000015470, workload/l9A.prog
001, RUNNING, USER, 0000015470, 0000015516, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000015516, 0000015520, workload/l9A.prog
001, READY, N/A, 0000015520, 0000016822, workload/l9A.prog
001, RUNNING, USER, 0000016822, 0000016853, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000016853, 0000016857, workload/l9A.prog
001, WAITING, N/A, 0000016857, 0000016891, workload/l9A.prog
001, READY, N/A, 0000016891, 0000018230, workload/l9A.prog
001, RUNNING, USER, 0000018230, 0000018280, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000018280, 0000018284, workload/l9A.prog
001, READY, N/A, 0000018284, 0000019731, workload/l9A.prog
001, RUNNING, USER, 0000019731, 0000019750, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000019750, 0000019754, workload/l9A.prog
001, WAITING, N/A, 0000019754, 0000019788, workload/l9A.prog
001, READY, N/A, 0000019788, 0000021109, workload/l9A.prog
001, RUNNING, USER, 0000021109, 0000021159, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000021159, 0000021163, workload/l9A.prog
001, READY, N/A, 0000021163, 0000022362, workload/l9A.prog
001, RUNNING, USER, 0000022362, 0000022363, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000022363, 0000022367, workload/l9A.prog
001, WAITING, N/A, 0000022367, 0000022448, workload/l9A.prog
001, READY, N/A, 0000022448, 0000023742, workload/l9A.prog
001, RUNNING, USER, 0000023742, 0000023792, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000023792, 0000023796, workload/l9A.prog
001, READY, N/A, 0000023796, 0000025122, workload/l9A.prog
001, RUNNING, USER, 0000025122, 0000025172, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000025172, 0000025176, workload/l9A.prog
001, READY, N/A, 0000025176, 0000026565, workload/l9A.prog
001, RUNNING, USER, 0000026565, 0000026611, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000026611, 0000026615, workload/l9A.prog
001, WAITING, N/A, 0000026615, 0000026669, workload/l9A.prog
001, READY, N/A, 0000026669, 0000028000, workload/l9A.prog
001, RUNNING, USER, 0000028000, 0000028036, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000028036, 0000028040, workload/l9A.prog
001, WAITING, N/A, 0000028040, 0000028158, workload/l9A.prog
001, READY, N/A, 0000028158, 0000029475, workload/l9A.prog
001, RUNNING, USER, 0000029475, 0000029520, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000029520, 0000029524, workload/l9A.prog
001, WAITING, N/A, 0000029524, 0000029558, workload/l9A.prog
001, READY, N/A, 0000029558, 0000030797, workload/l9A.prog
001, RUNNING, USER, 0000030797, 0000030807, workload/l9A.prog
001, READY, N/A, 0000030807, 0000030811, workload/l9A.prog
001, RUNNING, USER, 0000030811, 0000030839, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000030839, 0000030843, workload/l9A.prog
001, WAITING, N/A, 0000030843, 0000030887, workload/l9A.prog
001, READY, N/A, 0000030887, 0000032174, workload/l9A.prog
001, RUNNING, USER, 0000032174, 0000032206, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000032206, 0000032210, workload/l9A.prog
001, WAITING, N/A, 0000032210, 0000032244, workload/l9A.prog
001, READY, N/A, 0000032244, 0000033619, workload/l9A.prog
001, RUNNING, USER, 0000033619, 0000033652, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000033652, 0000033656, workload/l9A.prog
001, WAITING, N/A, 0000033656, 0000033699, workload/l9A.prog
001, READY, N/A, 0000033699, 0000034941, workload/l9A.prog
001, RUNNING, USER, 0000034941, 0000034991, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000034991, 0000034995, workload/l9A.prog
001, READY, N/A, 0000034995, 0000036363, workload/l9A.prog
001, RUNNING, USER, 0000036363, 0000036385, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000036385, 0000036389, workload/l9A.prog
001, WAITING, N/A, 0000036389, 0000036459, workload/l9A.prog
001, READY, N/A, 0000036459, 0000037791, workload/l9A.prog
001, RUNNING, USER, 0000037791, 0000037841, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000037841, 0000037845, workload/l9A.prog
001, READY, N/A, 0000037845, 0000039142, workload/l9A.prog
001, RUNNING, USER, 0000039142, 0000039156, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000039156, 0000039160, workload/l9A.prog
001, WAITING, N/A, 0000039160, 0000039194, workload/l9A.prog
001, READY, N/A, 0000039194, 0000040508, workload/l9A.prog
001, RUNNING, USER, 0000040508, 0000040558, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000040558, 0000040562, workload/l9A.prog
001, WAITING, N/A, 0000040562, 0000040634, workload/l9A.prog
001, READY, N/A, 0000040634, 0000041966, workload/l9A.prog
001, RUNNING, USER, 0000041966, 0000042016, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000042016, 0000042020, workload/l9A.prog
001, READY, N/A, 0000042020, 0000043438, workload/l9A.prog
001, RUNNING, USER, 0000043438, 0000043488, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000043488, 0000043492, workload/l9A.prog
001, READY, N/A, 0000043492, 0000044815, workload/l9A.prog
001, RUNNING, USER, 0000044815, 0000044865, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000044865, 0000044869, workload/l9A.prog
001, READY, N/A, 0000044869, 0000046279, workload/l9A.prog
001, RUNNING, USER, 0000046279, 0000046329, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000046329, 0000046333, workload/l9A.prog
001, READY, N/A, 0000046333, 0000047693, workload/l9A.prog
001, RUNNING, USER, 0000047693, 0000047695, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000047695, 0000047699, workload/l9A.prog
001, WAITING, N/A, 0000047699, 0000047733, workload/l9A.prog
001, READY, N/A, 0000047733, 0000048988, workload/l9A.prog
001, RUNNING, USER, 0000048988, 0000049034, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000049034, 0000049038, workload/l9A.prog
001, READY, N/A, 0000049038, 0000050381, workload/l9A.prog
001, RUNNING, USER, 0000050381, 0000050385, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000050385, 0000050389, workload/l9A.prog
001, WAITING, N/A, 0000050389, 0000050487, workload/l9A.prog
001, READY, N/A, 0000050487, 0000051684, workload/l9A.prog
001, RUNNING, USER, 0000051684, 0000051734, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000051734, 0000051738, workload/l9A.prog
001, READY, N/A, 0000051738, 0000053071, workload/l9A.prog
001, RUNNING, USER, 0000053071, 0000053077, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000053077, 0000053081, workload/l9A.prog
001, WAITING, N/A, 0000053081, 0000053139, workload/l9A.prog
001, READY, N/A, 0000053139, 0000054301, workload/l9A.prog
001, RUNNING, USER, 0000054301, 0000054342, workload/l9A.prog
001, READY, N/A, 0000054342, 0000054346, workload/l9A.prog
001, RUNNING, USER, 0000054346, 0000054351, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000054351, 0000054355, workload/l9A.prog
001, READY, N/A, 0000054355, 0000055650, workload/l9A.prog
001, RUNNING, USER, 0000055650, 0000055684, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000055684, 0000055688, workload/l9A.prog
001, WAITING, N/A, 0000055688, 0000055741, workload/l9A.prog
001, READY, N/A, 0000055741, 0000056978, workload/l9A.prog
001, RUNNING, USER, 0000056978, 0000057018, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000057018, 0000057022, workload/l9A.prog
001, WAITING, N/A, 0000057022, 0000057090, workload/l9A.prog
001, READY, N/A, 0000057090, 0000058418, workload/l9A.prog
001, RUNNING, USER, 0000058418, 0000058462, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000058462, 0000058466, workload/l9A.prog
001, WAITING, N/A, 0000058466, 0000058532, workload/l9A.prog
001, READY, N/A, 0000058532, 0000059747, workload/l9A.prog
001, RUNNING, USER, 0000059747, 0000059768, workload/l9A.prog
001, READY, N/A, 0000059768, 0000059772, workload/l9A.prog
001, RUNNING, USER, 0000059772, 0000059793, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000059793, 0000059797, workload/l9A.prog
001, READY, N/A, 0000059797, 0000061155, workload/l9A.prog
001, RUNNING, USER, 0000061155, 0000061167, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000061167, 0000061171, workload/l9A.prog
001, WAITING, N/A, 0000061171, 0000061205, workload/l9A.prog
001, READY, N/A, 0000061205, 0000062447, workload/l9A.prog
001, RUNNING, USER, 0000062447, 0000062482, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000062482, 0000062486, workload/l9A.prog
001, WAITING, N/A, 0000062486, 0000062604, workload/l9A.prog
001, READY, N/A, 0000062604, 0000063918, workload/l9A.prog
001, RUNNING, USER, 0000063918, 0000063951, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000063951, 0000063955, workload/l9A.prog
001, WAITING, N/A, 0000063955, 0000064014, workload/l9A.prog
001, READY, N/A, 0000064014, 0000065281, workload/l9A.prog
001, RUNNING, USER, 0000065281, 0000065321, workload/l9A.prog
001, RUNNING, SUPERVISOR, 0000065321, 0000065325, workload/l9A.prog
001, WAITING, N/A, 0000065325, 0000065429, workload/l9A.prog
